Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,14.73,88.0,81.0,3.4,8713.0,M
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,14.64,,,,,
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,14.63,,,,,
Call of Duty: Black Ops,X360,2010.0,Shooter,14.61,87.0,89.0,6.3,1454.0,M
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,14.6,,,,,
Call of Duty: Black Ops II,PS3,2012.0,Shooter,13.79,83.0,21.0,5.3,922.0,M
Call of Duty: Black Ops II,X360,2012.0,Shooter,13.67,83.0,73.0,4.8,2256.0,M
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,13.47,94.0,100.0,6.3,2698.0,M
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,13.32,88.0,39.0,3.2,5234.0,M
Grand Theft Auto III,PS2,2001.0,Action,13.1,97.0,56.0,8.5,664.0,M
Super Smash Bros. Brawl,Wii,2008.0,Fighting,12.84,93.0,81.0,8.9,1662.0,T
Mario Kart 7,3DS,2011.0,Racing,12.66,85.0,73.0,8.2,632.0,E
Call of Duty: Black Ops,PS3,2010.0,Shooter,12.63,88.0,58.0,6.4,1094.0,M
Grand Theft Auto V,PS4,2014.0,Action,12.61,97.0,66.0,8.3,2899.0,M
Animal Crossing: Wild World,DS,2005.0,Simulation,12.13,86.0,57.0,8.7,242.0,E
Halo 3,X360,2007.0,Shooter,12.12,94.0,86.0,7.8,4100.0,M
Super Mario 64,N64,1996.0,Platform,11.89,,,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,11.77,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,11.68,,,,,
Gran Turismo 4,PS2,2004.0,Racing,11.66,89.0,74.0,8.5,272.0,E
Super Mario Galaxy,Wii,2007.0,Platform,11.35,97.0,73.0,8.9,2147.0,E
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,11.18,,,,,
Grand Theft Auto IV,X360,2008.0,Action,11.01,98.0,86.0,7.9,2951.0,M
Gran Turismo,PS,1997.0,Racing,10.95,96.0,16.0,8.7,138.0,E
Super Mario 3D Land,3DS,2011.0,Platform,10.81,90.0,82.0,8.4,921.0,E
Gran Turismo 5,PS3,2010.0,Racing,10.7,84.0,82.0,7.5,1112.0,E
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,10.6,94.0,67.0,6.3,2073.0,M
Super Mario All-Stars,SNES,1993.0,Platform,10.55,,,,,
Grand Theft Auto IV,PS3,2008.0,Action,10.5,98.0,64.0,7.5,2833.0,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,10.49,,,,,
Super Mario 64,DS,2004.0,Platform,10.3,,,,,
Call of Duty: Ghosts,X360,2013.0,Shooter,10.25,73.0,29.0,2.6,2117.0,M
Just Dance 3,Wii,2011.0,Misc,10.12,74.0,15.0,7.8,16.0,E10+
New Super Mario Bros. 2,3DS,2012.0,Platform,9.9,78.0,70.0,7.2,424.0,E
Mario Kart 64,N64,1996.0,Racing,9.87,,,,,
Halo: Reach,X360,2010.0,Shooter,9.86,91.0,99.0,7.9,2045.0,M
Final Fantasy VII,PS,1997.0,Role-Playing,9.72,92.0,20.0,9.2,1282.0,T
Halo 4,X360,2012.0,Shooter,9.71,87.0,87.0,7.0,3260.0,M
Gran Turismo 2,PS,1999.0,Racing,9.49,93.0,23.0,9.0,135.0,T
Just Dance 2,Wii,2010.0,Misc,9.44,74.0,24.0,7.3,24.0,E10+
Call of Duty: Ghosts,PS3,2013.0,Shooter,9.36,71.0,10.0,2.6,1047.0,M
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,9.31,94.0,70.0,8.4,1320.0,M
Donkey Kong Country,SNES,1994.0,Platform,9.3,,,,,
Minecraft,X360,2013.0,Misc,9.18,,,,,
Animal Crossing: New Leaf,3DS,2012.0,Simulation,9.16,88.0,70.0,8.7,626.0,E
Mario Party DS,DS,2007.0,Misc,8.91,72.0,27.0,7.8,85.0,E
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,8.79,96.0,89.0,8.4,3589.0,M
Super Mario Kart,SNES,1992.0,Racing,8.76,,,,,
FIFA 16,PS4,2015.0,Sports,8.57,82.0,42.0,4.3,896.0,E
Halo 2,XB,2004.0,Shooter,8.49,95.0,91.0,8.2,1218.0,M
Wii Party,Wii,2010.0,Misc,8.38,68.0,42.0,7.4,54.0,E
Mario Party 8,Wii,2007.0,Misc,8.27,62.0,41.0,6.3,190.0,E
FIFA Soccer 13,PS3,2012.0,Action,8.16,88.0,37.0,6.6,348.0,E
GoldenEye 007,N64,1997.0,Shooter,8.09,,,,,
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,8.07,,,,,
Final Fantasy X,PS2,2001.0,Role-Playing,8.05,92.0,53.0,8.7,1056.0,T
The Sims 3,PC,2009.0,Simulation,8.01,86.0,75.0,7.6,886.0,T
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,7.99,,,,,
Star Wars Battlefront (2015),PS4,2015.0,Shooter,7.98,,,,,
Final Fantasy VIII,PS,1999.0,Role-Playing,7.86,90.0,24.0,8.6,644.0,T
Pac-Man,2600,1982.0,Puzzle,7.81,,,,,
Pokémon Platinum Version,DS,2008.0,Role-Playing,7.72,83.0,46.0,8.5,203.0,E
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,7.69,88.0,65.0,7.6,451.0,M
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,7.66,83.0,39.0,5.7,1443.0,M
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,7.6,,,,,
FIFA 17,PS4,2016.0,Sports,7.59,85.0,41.0,5.0,398.0,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,7.58,,,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,7.55,,,,,
Super Mario Galaxy 2,Wii,2010.0,Platform,7.51,97.0,87.0,9.1,1854.0,E
Super Mario Bros. 2,NES,1988.0,Platform,7.46,,,,,
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,7.39,,,,,
Call of Duty: World at War,X360,2008.0,Shooter,7.38,84.0,84.0,7.6,580.0,M
Battlefield 3,X360,2011.0,Shooter,7.32,84.0,57.0,7.4,2142.0,M
Need for Speed Underground,PS2,2003.0,Racing,7.2,85.0,33.0,8.6,171.0,E
Just Dance,Wii,2009.0,Misc,7.2,49.0,21.0,8.0,110.0,E10+
Battlefield 3,PS3,2011.0,Shooter,7.17,85.0,38.0,7.5,1761.0,M
Fallout 4,PS4,2015.0,Role-Playing,7.16,87.0,58.0,6.5,4228.0,M
Tekken 3,PS,1998.0,Fighting,7.16,96.0,15.0,9.1,367.0,T
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,7.15,95.0,73.0,9.0,1658.0,T
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,7.14,,,,,
Crash Bandicoot 3: Warped,PS,1998.0,Platform,7.13,91.0,12.0,8.9,432.0,E
Mario Kart 8,WiiU,2014.0,Racing,7.09,88.0,82.0,9.1,1599.0,E
Super Smash Bros. Melee,GC,2001.0,Fighting,7.07,92.0,38.0,9.1,568.0,T
Mario Kart: Double Dash!!,GC,2003.0,Racing,6.95,,,,,
Need for Speed Underground 2,PS2,2004.0,Racing,6.9,82.0,39.0,8.6,132.0,E
Medal of Honor: Frontline,PS2,2002.0,Shooter,6.83,88.0,29.0,8.5,135.0,T
Crash Bandicoot,PS,1996.0,Platform,6.82,,,,,
Just Dance 4,Wii,2012.0,Misc,6.76,74.0,10.0,7.3,28.0,E10+
Gears of War 2,X360,2008.0,Shooter,6.75,93.0,90.0,7.7,2739.0,M
Uncharted 3: Drake's Deception,PS3,2011.0,Action,6.74,92.0,97.0,8.3,3712.0,T
Zumba Fitness,Wii,2010.0,Sports,6.71,,,7.13,,E
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,6.68,94.0,44.0,8.4,993.0,M
Uncharted 2: Among Thieves,PS3,2009.0,Action,6.66,96.0,105.0,8.8,5187.0,T
FIFA 12,PS3,2011.0,Sports,6.65,,,,,
Big Brain Academy,DS,2005.0,Misc,6.62,74.0,45.0,7.4,27.0,E
The Legend of Zelda,NES,1986.0,Action,6.51,,,,,
Red Dead Redemption,PS3,2010.0,Action,6.49,95.0,73.0,8.8,2456.0,M
FIFA 14,PS3,2013.0,Sports,6.47,86.0,37.0,4.3,576.0,E
Assassin's Creed III,PS3,2012.0,Action,6.45,85.0,41.0,6.9,1307.0,M
Donkey Kong Country Returns,Wii,2010.0,Platform,6.44,87.0,77.0,8.6,368.0,E
Halo: Combat Evolved,XB,2001.0,Shooter,6.43,97.0,68.0,8.6,1283.0,M
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,6.41,92.0,16.0,6.4,2527.0,M
Pokémon Emerald Version,GBA,2004.0,Role-Playing,6.41,76.0,28.0,9.0,222.0,E
Kingdom Hearts,PS2,2002.0,Role-Playing,6.4,85.0,46.0,8.8,597.0,E
Pokémon Crystal Version,GB,2000.0,Role-Playing,6.39,,,,,
Halo 3: ODST,X360,2009.0,Shooter,6.34,83.0,94.0,7.1,1163.0,M
Red Dead Redemption,X360,2010.0,Action,6.32,95.0,96.0,9.0,2316.0,M
Super Mario Sunshine,GC,2002.0,Platform,6.31,92.0,61.0,8.6,439.0,E
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,6.3,,,,,
World of Warcraft,PC,2004.0,Role-Playing,6.29,93.0,57.0,7.3,2182.0,T
Driver,PS,1999.0,Action,6.27,87.0,22.0,8.1,78.0,T
Gears of War 3,X360,2011.0,Shooter,6.21,91.0,96.0,7.8,1504.0,M
Kinect Sports,X360,2010.0,Sports,6.19,73.0,51.0,7.4,95.0,E10+
Gears of War,X360,2006.0,Shooter,6.09,94.0,88.0,8.3,2295.0,M
FIFA 15,PS4,2014.0,Sports,6.08,82.0,47.0,5.7,988.0,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,6.05,96.0,42.0,8.7,1026.0,M
Sonic the Hedgehog 2,GEN,1992.0,Platform,6.03,,,,,
Metal Gear Solid,PS,1998.0,Action,6.03,94.0,20.0,9.4,918.0,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,5.99,94.0,82.0,8.7,3558.0,M
Final Fantasy XII,PS2,2006.0,Role-Playing,5.95,92.0,64.0,7.6,972.0,T
The Last of Us,PS3,2013.0,Action,5.87,95.0,98.0,9.1,8003.0,M
LittleBigPlanet,PS3,2008.0,Platform,5.82,95.0,85.0,6.8,5311.0,E
Resident Evil 2,PS,1998.0,Action,5.82,89.0,13.0,9.2,364.0,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,5.78,87.0,65.0,8.8,197.0,E10+
Tekken 2,PS,1996.0,Fighting,5.74,89.0,8.0,8.9,102.0,T
Destiny,PS4,2014.0,Shooter,5.64,76.0,95.0,6.1,5380.0,T
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,5.64,80.0,17.0,8.9,62.0,E10+
Cooking Mama,DS,2006.0,Simulation,5.63,67.0,35.0,7.2,21.0,E
Tetris,NES,1988.0,Puzzle,5.58,,,,,
Super Smash Bros.,N64,1999.0,Fighting,5.55,,,,,
Assassin's Creed II,PS3,2009.0,Action,5.55,91.0,70.0,8.6,1202.0,M
Assassin's Creed,X360,2007.0,Adventure,5.54,81.0,77.0,7.7,1074.0,M
Forza Motorsport 3,X360,2009.0,Racing,5.49,92.0,90.0,8.0,516.0,E
Super Mario Advance,GBA,2001.0,Platform,5.49,84.0,19.0,7.8,41.0,E
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,5.48,81.0,48.0,8.7,124.0,T
Batman: Arkham City,PS3,2011.0,Action,5.48,96.0,42.0,8.6,2162.0,T
Grand Theft Auto V,XOne,2014.0,Action,5.48,97.0,14.0,7.9,764.0,M
Mario Kart: Super Circuit,GBA,2001.0,Racing,5.47,93.0,24.0,8.3,108.0,E
Super Mario World,GBA,2001.0,Platform,5.46,,,,,
Pokemon Stadium,N64,1999.0,Strategy,5.45,,,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,5.42,66.0,22.0,7.1,156.0,E
Call of Duty: World at War,PS3,2008.0,Shooter,5.39,85.0,45.0,7.6,409.0,M
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,5.38,93.0,113.0,7.9,7064.0,T
Dr. Mario,GB,1989.0,Puzzle,5.34,,,,,
Final Fantasy XIII,PS3,2009.0,Role-Playing,5.33,83.0,83.0,7.3,2483.0,T
Pokemon Pinball,GB,1999.0,Misc,5.31,,,,,
Final Fantasy IX,PS,2000.0,Role-Playing,5.3,94.0,22.0,8.9,779.0,T
Assassin's Creed III,X360,2012.0,Action,5.29,84.0,61.0,6.7,1196.0,M
Final Fantasy X-2,PS2,2003.0,Role-Playing,5.29,85.0,45.0,6.6,400.0,T
Donkey Kong 64,N64,1999.0,Platform,5.27,,,,,
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,5.27,81.0,53.0,5.4,898.0,M
Minecraft,PS3,2014.0,Misc,5.26,,,,,
Assassin's Creed II,X360,2009.0,Action,5.26,90.0,82.0,8.8,1305.0,M
Tomb Raider II,PS,1997.0,Action,5.24,85.0,13.0,,,T
Madden NFL 2004,PS2,,Sports,5.23,94.0,29.0,8.5,140.0,E
Tomodachi Life,3DS,2013.0,Simulation,5.23,,,,,
New Super Mario Bros. U,WiiU,2012.0,Platform,5.22,84.0,70.0,8.1,733.0,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,5.21,89.0,63.0,8.8,245.0,T
Super Mario Bros. 3,GBA,2003.0,Platform,5.2,,,,,
Professor Layton and the Curious Village,DS,2007.0,Puzzle,5.19,85.0,72.0,8.6,147.0,E
Super Mario Land 3: Wario Land,GB,1994.0,Platform,5.19,,,,,
FIFA Soccer 13,X360,2012.0,Action,5.16,90.0,48.0,6.1,403.0,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,5.15,,,,,
Diablo III,PC,2012.0,Role-Playing,5.14,88.0,86.0,4.0,9629.0,M
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,5.13,68.0,30.0,7.6,100.0,T
Kirby's Dream Land,GB,1992.0,Platform,5.13,,,,,
Microsoft Flight Simulator,PC,1996.0,Simulation,5.12,,,,,
Guitar Hero II,PS2,2006.0,Misc,5.12,92.0,69.0,8.5,112.0,T
Fable III,X360,2010.0,Role-Playing,5.1,80.0,88.0,6.5,604.0,M
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,5.09,,,,,
Resident Evil 5,PS3,2009.0,Action,5.09,84.0,76.0,7.5,667.0,M
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,5.08,90.0,57.0,8.0,416.0,E
Super Mario Bros.,GB,1999.0,Platform,5.07,,,,,
FIFA Soccer 11,PS3,2010.0,Sports,5.07,89.0,51.0,8.0,233.0,E
Resident Evil,PS,1996.0,Action,5.05,91.0,8.0,9.0,266.0,M
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,5.03,86.0,50.0,8.0,150.0,M
Tony Hawk's Pro Skater,PS,1999.0,Sports,5.02,92.0,18.0,9.2,69.0,T
Warzone 2100,PS,1999.0,Strategy,5.01,,,,,
Spyro the Dragon,PS,1998.0,Platform,5.0,,,,,
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,4.98,82.0,24.0,8.2,46.0,T
Link's Crossbow Training,Wii,2007.0,Shooter,4.98,68.0,34.0,7.1,47.0,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,4.93,,,,,
Fallout 3,X360,2008.0,Role-Playing,4.93,93.0,84.0,8.5,1655.0,M
Uncharted: Drake's Fortune,PS3,2007.0,Action,4.92,88.0,66.0,8.1,2306.0,T
Madden NFL 06,PS2,2005.0,Sports,4.91,88.0,29.0,8.0,121.0,E
Diddy Kong Racing,N64,1997.0,Racing,4.88,,,,,
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,4.87,,,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,4.87,,,,,
Dr. Mario,NES,1990.0,Puzzle,4.85,,,,,
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,4.84,93.0,82.0,8.2,3052.0,T
Assassin's Creed,PS3,2007.0,Adventure,4.82,81.0,40.0,7.3,769.0,M
God of War III,PS3,2010.0,Action,4.8,92.0,101.0,8.7,2633.0,M
Crash Team Racing,PS,1999.0,Racing,4.79,88.0,20.0,9.0,233.0,E
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,4.76,80.0,9.0,5.4,46.0,E
Driver 2,PS,2000.0,Action,4.73,62.0,14.0,7.7,92.0,T
Batman: Arkham City,X360,2011.0,Action,4.73,94.0,87.0,8.7,1472.0,T
The Last of Us,PS4,2014.0,Action,4.71,,,,,
The Simpsons: Hit & Run,PS2,2003.0,Racing,4.7,,,,,
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,4.68,98.0,19.0,7.7,299.0,T
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,4.67,82.0,32.0,8.2,78.0,T
Tomb Raider,PS,1996.0,Action,4.63,91.0,13.0,8.6,147.0,T
Animal Crossing: City Folk,Wii,2008.0,Simulation,4.62,73.0,50.0,7.6,119.0,E
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,4.62,86.0,78.0,8.1,1264.0,T
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,4.61,,,,,
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,4.6,96.0,80.0,8.9,968.0,E
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,4.6,86.0,36.0,8.4,87.0,T
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,4.59,86.0,74.0,8.4,458.0,E
Forza Motorsport 4,X360,2011.0,Racing,4.57,91.0,83.0,8.2,617.0,E
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,4.53,,,,,
Madden NFL 2005,PS2,2004.0,Sports,4.53,91.0,30.0,7.9,78.0,E
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,4.53,85.0,69.0,7.9,165.0,T
Pitfall!,2600,1981.0,Platform,4.5,,,,,
Madden NFL 07,PS2,2006.0,Sports,4.49,84.0,29.0,8.2,39.0,E
Halo 5: Guardians,XOne,2015.0,Shooter,4.48,84.0,101.0,6.4,2438.0,T
Spider-Man: The Movie,PS2,2002.0,Action,4.48,76.0,25.0,7.9,41.0,E
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,4.47,,,,,
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,4.46,77.0,82.0,3.4,1129.0,M
God of War,PS2,2005.0,Action,4.45,94.0,75.0,8.9,997.0,M
Splatoon,WiiU,2015.0,Shooter,4.43,81.0,88.0,8.5,1184.0,E10+
Nintendo Land,WiiU,2012.0,Misc,4.42,77.0,61.0,7.9,471.0,E10+
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,4.41,97.0,34.0,7.5,298.0,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,4.39,86.0,19.0,8.9,33.0,E
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,4.38,94.0,90.0,8.7,1109.0,M
Zelda II: The Adventure of Link,NES,1987.0,Adventure,4.38,,,,,
Need for Speed: Most Wanted,PS2,2005.0,Racing,4.37,82.0,36.0,9.1,137.0,T
Michael Jackson: The Experience,Wii,2010.0,Misc,4.36,56.0,37.0,8.3,31.0,E10+
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,4.36,,,4.8,207.0,M
Resistance: Fall of Man,PS3,2006.0,Shooter,4.34,86.0,70.0,8.1,715.0,M
Sonic the Hedgehog,GEN,1991.0,Platform,4.34,,,,,
Kingdom Hearts II,PS2,2005.0,Role-Playing,4.33,87.0,64.0,9.0,766.0,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,4.33,,,,,
Super Mario 3D World,WiiU,2013.0,Platform,4.32,93.0,83.0,9.0,1607.0,E
Minecraft,PS4,2014.0,Misc,4.32,,,,,
Asteroids,2600,1980.0,Shooter,4.31,,,,,
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,4.29,,,4.9,221.0,M
FIFA 15,PS3,2014.0,Sports,4.28,,,4.5,109.0,E
Fable II,X360,2008.0,Role-Playing,4.27,89.0,95.0,6.5,2423.0,M
Namco Museum,GBA,2001.0,Misc,4.24,79.0,10.0,7.3,6.0,E
Batman: Arkham Asylum,PS3,2009.0,Action,4.23,91.0,70.0,8.9,1122.0,T
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,4.23,91.0,68.0,9.3,955.0,M
Assassin's Creed: Revelations,PS3,2011.0,Action,4.22,80.0,39.0,7.5,613.0,M
Fallout 4,XOne,2015.0,Role-Playing,4.22,88.0,39.0,6.2,1749.0,M
FIFA 14,X360,2013.0,Sports,4.22,84.0,41.0,4.2,435.0,E
Daxter,PSP,2006.0,Platform,4.21,85.0,59.0,8.7,109.0,E10+
Warcraft II: Tides of Darkness,PC,1995.0,Strategy,4.21,,,,,
FIFA Soccer 06,PS2,2005.0,Sports,4.21,80.0,32.0,7.8,47.0,E
EyeToy Play,PS2,2003.0,Misc,4.2,80.0,32.0,7.5,22.0,E
Gran Turismo 5 Prologue,PS3,2007.0,Racing,4.19,80.0,67.0,7.1,120.0,E
Assassin's Creed: Revelations,X360,2011.0,Action,4.19,80.0,77.0,7.2,564.0,M
FIFA 12,X360,2011.0,Sports,4.18,,,,,
Teenage Mutant Ninja Turtles,NES,1989.0,Action,4.17,,,,,
Street Fighter IV,PS3,2009.0,Fighting,4.16,94.0,61.0,7.3,330.0,T
Excitebike,NES,1984.0,Racing,4.16,,,,,
Frogger,PS,1997.0,Action,4.16,,,,,
Madden NFL 2003,PS2,2002.0,Sports,4.14,95.0,25.0,7.7,65.0,E
Half-Life,PC,1997.0,Shooter,4.12,96.0,24.0,9.1,3161.0,M
Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,4.12,,,,,
FIFA Soccer 07,PS2,2006.0,Sports,4.11,,,,,
Street Fighter II Turbo,SNES,1992.0,Fighting,4.1,,,,,
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,4.09,91.0,46.0,7.9,785.0,T
Battlefield 1,PS4,2016.0,Shooter,4.08,88.0,31.0,8.4,809.0,M
God of War II,PS2,2007.0,Action,4.07,93.0,70.0,8.9,709.0,M
World Soccer Winning Eleven 9,PS2,2005.0,Sports,4.06,,,8.2,23.0,E
Fallout: New Vegas,X360,2010.0,Role-Playing,4.05,84.0,81.0,8.1,769.0,M
Forza Motorsport 2,X360,2007.0,Racing,4.05,90.0,66.0,8.3,381.0,E
Carnival Games,Wii,2007.0,Misc,4.05,56.0,27.0,6.0,44.0,E
Watch Dogs,PS4,2014.0,Action,4.05,80.0,80.0,6.3,2996.0,M
Namco Museum Vol.3,PS,1996.0,Misc,4.05,,,,,
Tekken Tag Tournament,PS2,2000.0,Fighting,4.05,85.0,25.0,8.5,117.0,T
Far Cry 4,PS4,2014.0,Shooter,4.04,85.0,83.0,7.7,1653.0,M
Star Fox 64,N64,1997.0,Shooter,4.03,,,,,
Golf,NES,1984.0,Sports,4.01,,,,,
Namco Museum: 50th Anniversary,PS2,2005.0,Misc,3.98,61.0,21.0,7.13,,E10+
Left 4 Dead 2,X360,2009.0,Shooter,3.97,89.0,76.0,8.6,681.0,M
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,3.97,92.0,79.0,9.2,10179.0,M
Assassin's Creed: Unity,PS4,2014.0,Action,3.96,70.0,40.0,4.9,2050.0,M
Batman: Arkham Knight,PS4,2015.0,Action,3.95,87.0,89.0,7.6,2679.0,M
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,3.95,93.0,81.0,8.0,1958.0,E10+
Fallout 3,PS3,2008.0,Role-Playing,3.94,90.0,57.0,8.0,910.0,M
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,3.94,84.0,65.0,8.8,72.0,E10+
Donkey Kong Land,GB,1994.0,Platform,3.91,,,,,
EA Sports Active,Wii,2009.0,Sports,3.9,81.0,27.0,8.7,39.0,E
Tony Hawk's Underground,PS2,2003.0,Sports,3.9,90.0,38.0,8.7,121.0,T
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,3.89,86.0,80.0,8.7,348.0,T
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,3.88,94.0,32.0,8.1,9073.0,M
NBA 2K16,PS4,2015.0,Sports,3.88,87.0,51.0,6.7,364.0,E10+
Tekken 5,PS2,2005.0,Fighting,3.87,88.0,62.0,8.6,229.0,T
Dragon Warrior III,NES,1988.0,Role-Playing,3.87,,,,,
MotorStorm,PS3,2006.0,Racing,3.87,84.0,9.0,7.4,220.0,T
Nintendogs + cats,3DS,2011.0,Simulation,3.85,,,,,
